URLs,Frequency
snopes.com/bla,104
trib.al/wnc0G8X,37
ow.ly/RIHO30eQu,21
ift.tt/2gkw9Ec,5
snopes.com/bla,4
goo.gl/fb/ZFuQt,3
snopes.com/bla,3
twitter.com/i/w,2
twitter.com/i/w,1
snopes.com/bla,1
bestofviral.on,1
goo.gl/fb/udFmG,1
twitter.com/i/w,1
goo.gl/fb/FVKC8,1
bit.ly/2vy943E,1
twitter.com/i/w,1
bit.ly/2vxp9XD,1
twitter.com/i/w,1
twitter.com/i/w,1
goo.gl/fb/5ipBu,1
twitter.com/i/w,1
bit.ly/2wXEwMa,1
ow.ly/WFjA50dHQ,1
twitter.com/i/w,1
goo.gl/GCJ4qT,1
twitter.com/i/w,1
sbad3757.sydney,1
fb.me/1x5PDamPs,1
fb.me/CBzavz3X,1
fb.me/9i8pJv5OJ,1
fb.me/6tBOKFf5y,1
twitter.com/rx,1
tmblr.co/Z_kK2r,1
twib.in/l/eAax9,1
fb.me/3liwwtxlp,1
twitter.com/i/w,1
fb.me/JlfPswmr,1
fb.me/3b5c3JRWC,1
fb.me/1zUpYboJi,1
fb.me/1bOaUweAC,1
fb.me/vWqh9NMy,1
fb.me/8dwFOzvGI,1
fb.me/1zbLDPCkP,1
fb.me/3iJOnLv7N,1
fb.me/FBEsb6Zn,1
bit.ly/2x2MQL0,1
snopes.com/bla,1
fb.me/4KZ5xDcbR,1
freshdaily.news,1
fb.me/8wob1vWPE,1
fb.me/7PR187905,1
twitter.com/i/w,1
fb.me/1eKsbkP8a,1
ow.ly/2w2V30eP3,1
fb.me/5gZpk0r8t,1
fb.me/8d1oIBiZr,1
ow.ly/Yf8Z50dNt,1
goo.gl/fb/3rkTC,1
fb.me/8YNiHorPP,1
business2commu,1
snopes.com/bla,1
ow.ly/K7pZ30eSn,1
