URLs,Frequency
https://goo.gl/fb/rXZwkB,1
https://freshdaily.news/black-lives-matter-thugs-blocking-emergency-crews-from-reaching-hurricane-victims/,90
No Source,188
https://twitter.com/i/web/status/901541707392716801,1
https://disaster.trendolizer.com/2017/08/black-lives-matter-thugs-blocking-emergency-crews-from-reaching-hurricane-victims.html,1
https://aweirdworld.net/,3
https://fb.me/9ayLeIwrx,1
https://ourlandofthefree.com/2017/08/black-lives-matter-thugs-blocking-emergency-crews-from-reaching-hurricane-victims/,2
https://fb.me/5SE5audtX,1
https://fb.me/6OeNi4H1D,1
https://go.shr.lc/2wRHOAW,132
https://flashamericannews.com/news/black-lives-matter-thugs-blocking-emergency-crews-reaching-hurricane-victims/,5
https://twitter.com/rx,814
https://ift.tt/2wJVJK2,2
https://twitter.com/i/web/status/901835282684796930,1
https://www.thefreedomsfinalstand.com/2017/08/27/black-lives-matter-thugs-blocking-emergency-crews-reaching-hurricane-victims/,2
https://fb.me/7bYoavgew,1
https://nevonews.co/politics/black-lives-matter-crews-from-hurricane-victims/,2
https://fb.me/7ceC8Ixwe,1
https://twitter.com/JodiGFox5NY/status/901528337671180288,1
https://twitter.com/EmilyWTHR/status/901908025652412417,1
https://twitter.com/mpakpackaging/status/789104434634686464,1
https://twitter.com/greensborocity/status/789122147163701248,1
https://twitter.com/DandC/status/901840477217058817,1
https://twitter.com/washdcnews/status/784682323014918144,1
https://twitter.com/SITREPBlog/status/785566968552169472,1
https://twitter.com/JUSTHELICOPTERS/status/651799156428812289,1
https://twitter.com/Lrihendry/status/901903471384854529,1
https://twitter.com/paphotog/status/901922959220146176,1
https://twitter.com/i/web/status/901926400487301120,1
https://fb.me/8lS3GM7aI,2
https://fb.me/xiKgJpvM,1
https://fb.me/1nL0iMOzj,1
https://fb.me/3iOppIgAH,1
https://lnkd.in/eA-u7jb,1
https://lnkd.in/eeh4mY5,1
https://fb.me/8Yyr3O8Ku,1
https://fb.me/33khpL9ts,1
https://fb.me/8MYwTbJbe,1
https://fb.me/1wgxZGkaF,1
https://fb.me/zN3cc9M9,1
https://fb.me/wquJeJmk,1
https://dlvr.it/PjHLr3,1
https://fb.me/7rzK2Jl9x,1
https://twitter.com/i/web/status/902607777125720064,1
https://www.snopes.com/black-lives-matter-emergency-crews-hurricane/,1
https://twitter.com/i/web/status/904088271436881920,1
https://www.bossfeed.net/2017/08/31/black-lives-matter-thugs-blocking-emergency-crews-from-reaching-hurricane-victims/,1
